Bibliography Number,Article Title and DOI,Study Purpose,Type of Business,Disaster,Built Environment,Timeframe,Time Points Measured,Measurement of Recovery,Data Method,Methodology,Validation
13,Bend or break? Small business survival and strategies during the COVID-19 shock. https://doi.org/10.1016/j.ijdrr.2021.102332,Investigate how small businesses were affected by the COVID-19 pandemic,"Small Businesses including, Non-Employer Businesses and those with less than 100 employees",Pandemic,No,< 1 year,Approximately 3 months,"Estimated time to recovery, estimated income loss, business resilience",Survey,"Survey of 463 small business owners, linear probability models","Use of established constructs, Use of pre-existing survey questions"
14,A probabilistic approach for modeling the empirical economic loss impacts of data surveys on small and medium-sized enterprises; A case study of the November 2016 Sarpol-e Zahab earthquake. https://doi.org/10.1016/j.ijdrr.2024.105002,Identify and categorize the loss impacts on small and medium-sized enterprises (SMEs),"SMEs including, Industrial",Earthquake,Yes,2 years,2 years,"Mean Sale Ratio, downtime, restoration curve, recovery rate",Survey,"Time-Interval Questionnaire (TIQ), regression analysis",Cross-validation
15,The impact of social networks of historically underrepresented group operators (HUGOs) business recovery. https://doi.org/10.1016/j.ijdrr.2024.104540,Investigate the role of social networks in the recovery of Historically Underrepresented Group Operators (HUGOs) businesses,"Small Businesses including, those owned by historically underrepresented groups",Pandemic,No,Multiple Time Points,(1.5 to 2) years,Self-reported recovery status,Survey,"Survey of 200 businesses, logistic regression analysis",None described
16,Business Restoration Related to Lifeline After Tsunami Disaster. https://doi.org/10.1142/S1793431110000789,Evaluate the functionality of businesses after the 2004 Indian Ocean tsunami,"Fishery, Manufacturing, Wholesale, Retail, Financial, Tourism",Tsunami,Yes,< 1 year,9 months,"Restoration ratio of businesses, damage states",Survey,"Interview survey of company owners and relevant individuals, business restoration model",None described
17,Predictors of Business Return in New Orleans after Hurricane Katrina. https://doi.org/10.1371/journal.pone.0047935,Identify significant predictors of business reopening,Various,Hurricane,Yes,2 - 3 years,26 months,Operating status,Survey,"Survey of 1,400 business owners, probit regression analysis",None described
18,Business recovery from Hurricane Harvey. https://doi.org/10.1016/j.ijdrr.2018.12.004,Examine the factors that affected the progress of post-disaster business recovery,Small Businesses,Hurricane,Yes,Multiple Time Points,6 months to 1 year,Operating status,Survey,"Survey of 152 businesses, field data on business reopening rates, probit maximum likelihood estimation",None described
19,New Orleans business recovery in the aftermath of Hurricane Katrina. https://doi.org/10.1111/j.1467-985X.2011.00712.x,Analyze the decisions of business establishments to reopen,"Various including, businesses visible from the street on major commercial corridors",Hurricane,No,Multiple Time Points,"(0 to 3) months, (0 to 6) months, and (0 to 12) months",Operating status,Field Observations,"Visual survey of 673 businesses, spatial auto-regressive (SAR) probit model",None described
20,"A spatial correlation analysis of business operating status after an earthquake: A case study from Lushan, China. https://doi.org/10.1016/j.ijdrr.2019.101108",Explore the spatial correlation of business operating status,"Small Businesses including, Retail",Earthquake,No,4 years,4 years,Operating status,Field Observations,"Onsight observations and local inquiries of 951 businesses, spatial correlation analysis",None described
21,"Identifying effective measures to enhance the recovery of small and micro enterprises after multiple waves of COVID-19-A case study from Dongguan, China. https://doi.org/10.1016/j.ijdrr.2024.104427",Identify effective measures that can enhance the recovery of small and micro enterprises (SMEs),"SMEs including,  Manufacturing, Wholesale, Retail, Services",Pandemic,No,3 years,3 years,"Survival status, operational status, recovery performance",Survey,"Surveys conducted among 592 SMEs, spatial probit model",None described
22,"Key factors affecting sustained business operations after an earthquake: a case study from New Beichuan, China, 2013-2017. https://doi.org/10.1007/s11069-019-03597-1",Examine the changes in business operating statuses after the initial survival of a large earthquake,"Manufacturing, Wholesale, Retail, Services",Earthquake,Yes,5 years,5 years,Operational status,"Field Observations, Survey","Field investigations and surveys conducted among 256 businesses, binomial logistic regression",None described
23,Probabilistic Modeling of Small Business Recovery after a Hurricane: A Case Study of 2017 Hurricane Harvey. https://doi.org/10.1061/(ASCE)NH.1527-6996.0000602,Examine the micro-level foundation of small business resilience and recovery,"Small Businesses including, Industry",Hurricane,Yes,3 years,3 years,Time to recovery,Survey,"Survey of small business representatives, stochastic process model",None described
24,Estimating lifeline resilience factors using post-disaster business recovery data. https://doi.org/10.1177/8755293020952455,Estimate lifeline resilience factors (LRFs) for different business sectors,"Manufacturing, Non-Manufacturing",Earthquake,Yes,2 years,2 years,"Production Capacity Recovery Rate Under Facility Damage (FPCRR), Total Production Capacity and Recovery Rate Under Facility Damage and Lifeline Disruptions (TPCRR)",Survey,"Survey of 424 businesses, regression analysis",Cross-validation
25,Modelling post-disaster recovery process of industrial sectors: A case study of 2016 Kumamoto earthquakes. https://doi.org/10.1016/j.ijdrr.2021.102385,Understand the post-disaster recovery process of industrial sectors,"Industrial including, Manufacturing, Non-Manufacturing",Earthquake,Yes,Not described,Not described,Production capacity of firms,Survey,"Survey of 960 business managers, semi-Markov model",Cross-validation
26,Analysis of the influencing factors on industrial resilience to flood disasters using a semi-markov recovery model: A case study of the Heavy Rain Event of July 2018 in Japan. https://doi.org/10.1016/j.ijdrr.2022.103384,Evaluate the dynamic resilience of industrial sectors after flood disasters,"Manufacturing, Non-Manufacturing",Flood,Yes,Not described,Not described,Production capacity rate (PCR),Survey,"Survey of 535 business managers, semi-Markov process framework",Cross-validation
27,Modeling post-disaster business recovery under partially observed states: A case study of the 2011 great East Japan earthquake. https://doi.org/10.1016/j.jclepro.2022.133870,Develop a novel analytical methodology for estimating post-disaster business recovery processes,"Manufacturing, Non-Manufacturing",Earthquake,Yes,< 1 year,6 months,Facility production capacity rate (FPCR),Survey,"Survey of 2052 businesses, multi-state Markov process",None described
28,Post-disaster recovery in industrial sectors: A Markov process analysis of multiple lifeline disruptions. https://doi.org/10.1016/j.ress.2020.107299,Investigate the impact of multiple lifeline disruptions on business production capacity recovery,"Industrial including, Materials, Processing, Assembly, Life-related",Earthquake,Yes,< 1 year,90 days,Production capacity,Survey,"Survey of 376 businesses, non-homogeneous Markov process model",None described
29,Analysis of post-disaster business recovery: Differences in industrial sectors and impacts of production inputs. https://doi.org/10.1016/j.ijdrr.2023.103577,Investigate the business recovery process following the 2011 Great East Japan Earthquake,Industrial,Earthquake,Yes,< 1 year,9 months,"Production capacity rate (PCR), total recovery time",Survey,"Survey of 434 businesses, survival analysis, regression model",None described
30,Modeling the Multisector Business Interruption Ratio in Earthquake-Struck Regions. https://doi.org/10.1061/(ASCE)ME.1943-5479.0000964,Develop an analytical framework for modeling the Business Interruption Ratio (BIR),"Manufacturing, Retail",Earthquake,Yes,10 years,10 years,Business Interruption Ratio (BIR),Survey,Surveys of 227 manufacturing and retailing businesses,"Expert Evaluation, Pilot Testing, Cross-validation"
31,Responses to the 2011 floods in Central Thailand: Perpetuating the vulnerability of small and medium enterprises? https://doi.org/10.1007/s11069-017-2813-7,Investigate how the 2011 floods affected small and medium enterprises (SMEs),"SMEs including, Retail, Services",Flood,Yes,Multiple Time Points,(3 to 4) years,"Economic recovery, perceptions of recovery, government response","Interviews, Survey","Key informant interviews, survey conducted with 26 SME owners",None described
32,Sink or Swim? Impacts of Management Strategies on Small Business Survival and Recovery. https://doi.org/10.3390/su12156229,Examine the impact of management strategies on the recovery status of small businesses,"Small Businesses including, 200 or fewer employees",Hurricane,Yes,Multiple Time Points,(8 to 11) years,Operating status categories,Interviews,"Interviews with 499 small business owners, Heckman probit model",None described
33,"Flood recovery capacities of the manufacturing SMEs from floods: A case study in Pathumthani province, Thailand. https://doi.org/10.1016/j.ijdrr.2016.07.001",Examine the flood recovery capacities of manufacturing Small and Medium Enterprises (SMEs),"SMEs including, Manufacturing",Flood,Yes,3 years,3 years,"Recovery time, financial losses",Survey,"Survey of 200 manufacturing SMEs, interviews with key informants, focus group discussions",Triangulation of Data
34,Quantifying community resilience based on fluctuations in visits to points-of-interest derived from digital trace data. https://doi.org/10.1098/rsif.2021.0158,Establish a methodological framework for quantifying community resilience,Various,Hurricane,Yes,< 1 year,Approximately 1 month,"Systemic Impact, Duration of Impact, General Resilience (GR) Values",Digital Trace Data,"Digital trace data related to unique visits to POIs, resilience curve analysis",None described
35,Small-business demise and recovery after Katrina: rate of survival and demise. https://doi.org/10.1007/s11069-012-0480-2,Present a methodology for tracking demised small businesses after a disaster,"Small Businesses including, 0 to 200 employees operating in a ten-county geographic area",Hurricane,Yes,Multiple Time Points,1 year before and 5 years after the hurricane,Rate of survival and demise,"Field Observations, Desktop Research","Mixed-methods approach combining desktop research, phone verification, and fieldwork",Cross referencing of multiple data sources
36,Business Continuity and Disaster Recovery in the Aftermath of Hurricane Irma: Exploring Whether Community-Level Mitigation Activities Make a Difference. https://doi.org/10.1061/(ASCE)NH.1527-6996.0000323,Examine the impact of community-level mitigation activities on business continuity and disaster recovery,Various,Hurricane,Yes,< 1 year,Approximately 2 months,Self-rated recovery,Interviews,Semi-structured interviews with 19 business owners or representatives and 6 local government staff members,None described
37,Corporate investor confidence in the aftermath of a mega natural disaster: An empirical study of the 2008 Wenchuan earthquake. https://doi.org/10.1016/j.ssci.2020.104620,Investigate how corporate investor confidence is influenced by the distance from a disaster,"Various including, companies headquartered in the disaster-affected areas of the 2008 Wenchuan earthquake",Earthquake,No,6 years,6 years,Value of shareholdings,Panel Data,"Analysis of a balanced panel of 98 listed companies, regression models",None described
38,Using Disaster Surveys to Model Business Interruption. https://doi.org/10.1061/NHREFO.NHENG-1807,Explore how to use survey data efficiently and effectively in business interruption models,"Retail, Wholesale, Manufacturing, Construction",Hurricane,Yes,2 - 3 years,15 months,"Business interruption, binary status of businesses",Survey,"Use of data collected from surveys of businesses, linear regression models","Expert Evaluation, Pilot Testing"
39,Multistate Models for the Recovery Process in the Covid-19 Context: An Empirical Study of Chinese Enterprises. https://doi.org/10.1007/s13753-022-00414-5,Examine the recovery process of Chinese enterprises during the Covid-19 pandemic,"Manufacturing, Non-Manufacturing",Pandemic,No,< 1 year,6 months,Operational capacity,Survey,"Survey of 750 businesses, survival analysis, multistate model",None described
